You are now connected to database "spots" as user "paulosghirmai".
             website              | webcount 
 baronspubs.com                   |        4
 hellofego.com                    |        3
 allstarlanes.co.uk               |        5
 reddogsaloon.co.uk               |        2
 la-campagna.co.uk                |        3
 tommis.is                        |        2
 the-connaught.co.uk              |        3
 thehawksmoor.com                 |        8
 dirty-bones.com                  |        5
 hopperslondon.com                |        3
 saltydonut.com                   |        3
 liberationgroup.com              |        2
 pasticceriamarchesi.com          |        2
 baolondon.com                    |        4
 rabiengthai.com                  |        2
 fazenda.co.uk                    |        3
 anantara.com                     |        2
 absurdbird.com                   |        3
 theblueskitchen.com              |        3
 nusr-et.com.tr                   |        2
 coppaclub.co.uk                  |        4
 ritzcarlton.com                  |        2
 thelunchbox.co.uk                |        3
 meatmarket.net                   |        2
 cahoots-london.com               |        3
 pertuttirestaurant.co.uk         |        2
 restaurantwebx.com               |        2
 wingstop.co.uk                   |        2
 atlantis.com                     |        4
 temperrestaurant.com             |        3
 buddhabar.com                    |        4
 oehme24.de                       |        2
 losmochis.co.uk                  |        2
 thedebeauvoirdeli.co.uk          |        2
 chucsrestaurants.com             |        6
 no131.com                        |        2
 commongroundsdubai.com           |        2
 madklubben.dk                    |        4
 ogniskorestaurant.co.uk          |        2
 dozosushi.co.uk                  |        2
 vivatbacchus.co.uk               |        2
 coventgarden.london              |        2
 dorchestercollection.com         |        8
 tarorestaurants.uk               |        2
 amassrestaurant.com              |        2
 halfcup.co.uk                    |        2
 therealgreek.com                 |        5
 barrafina.co.uk                  |        4
 theblacklock.com                 |        3
 browns-restaurants.co.uk         |        5
 truebarbecue.com                 |        2
 dirtymartini.uk.com              |        2
 departmentofcoffee.com           |        2
 thepighotel.com                  |        6
 flatironsteak.co.uk              |        9
 limalondon.com                   |        3
 jaguarshoes.com                  |        4
 almostfamousburgers.com          |        2
 fieldworkbrewing.com             |        2
 tigersmilk.co.za                 |        9
 skygarden.london                 |        3
 kintan.uk                        |        2
 vintageinn.co.uk                 |        8
 beefeater.co.uk                  |        2
 jdwetherspoon.com                |        8
 www3.hilton.com                  |        2
 encompaniadelobos.com            |        2
 banhbanh.com                     |        2
 allbarone.co.uk                  |        3
 aztecalatinlounge.com            |        2
 bobbobricard.com                 |        2
 banternyc.com                    |        2
 frankiespizza.dk                 |        7
 taqueria.co.uk                   |        2
 pollotropical.com                |        7
 paninogiusto.it                  |        2
 lepainquotidien.com              |        6
 itsu.com                         |        4
 honestburgers.co.uk              |        9
 mercatometropolitano.com         |        2
 megans.co.uk                     |        8
 homeslicepizza.co.uk             |        6
 restaurant-michaelnadra.co.uk    |        2
 egorestaurants.co.uk             |        3
 theospizzeria.com                |        2
 nps.gov                          |        2
 thegilpin.co.uk                  |        3
 oneills.co.uk                    |        2
 corinthia.com                    |        7
 overuk.com                       |        2
 thedirtyduckalehouse.co.uk       |        2
 rosewoodhotels.com               |        4
 holidayfitgym.wixsite.com        |        2
 eattokyo.co.uk                   |        4
 timeoutmarket.com                |        3
 cosyclub.co.uk                   |        6
 voodoorays.com                   |        4
 melia.com                        |        2
 aamanns.dk                       |        2
 oleandsteen.co.uk                |        3
 elliots.london                   |        2
 mikkeller.com                    |        3
 gauchorestaurants.co.uk          |        3
 revoluciondecuba.com             |        2
 mcdonalds.com                    |        3
 nammos.gr                        |        2
 tobycarvery.co.uk                |        3
 tavernadelmarinaio.com           |        2
 brasseriezedel.com               |        3
 vinoteca.co.uk                   |        2
 hotboxlondon.co.uk               |        2
 wahaca.co.uk                     |        2
 sagerandwilde.com                |        2
 osteria16.dk                     |        2
 amarahotel.com                   |        2
 rixos.com                        |        3
 yauatcha.com                     |        2
 ginodacamporestaurants.com       |        2
 sticksnsushi.com                 |       27
 madeofdough.co.uk                |        2
 everymancinema.com               |        4
 madeinitalygroup.co.uk           |        4
