You are now connected to database "spots" as user "paulosghirmai".
                        website                         | count 
 40handscoffee.com                                      |     2
 thelvlup.com                                           |     1
 thecapharleston.co.uk                                  |     1
 olivorestaurants.com                                   |     1
 locations.16handles.com                                |     1
 tottenhamhotspur.com                                   |     2
 mediaonehotel.com                                      |     1
 uncle-king.com                                         |     1
 zumbura.com                                            |     1
 lgueuleton.com                                         |     1
 brixtoncycles.co.uk                                    |     1
 theboma.co.zw                                          |     1
 thegoodyard.com                                        |     1
 santanata.com                                          |     2
 thepancakepantry.com                                   |     1
 gurnardshead.co.uk                                     |     1
 bjsoceanside.com                                       |     1
 bageriet.co.uk                                         |     1
 legoland.co.uk                                         |     1
 panoramic34.com                                        |     1
 flippers-pancake.jp                                    |     1
 jacobs-inn.com                                         |     1
 hareandtortoise.co.uk                                  |     1
 trattoriazaza.it                                       |     1
 chigwellnursery.co.uk                                  |     1
 tabxtab.com                                            |     1
 skirtedheifer.com                                      |     1
 thetickellarms.co.uk                                   |     1
 district.coffee                                        |     1
 roganic.uk                                             |     1
 elifchildwall.co.uk                                    |     1
 meatrestaurante.pt                                     |     1
 gulbenkian.pt                                          |     1
 maya-dubai.com                                         |     1
 stubbornseed.com                                       |     1
 wildberrycafe.com                                      |     1
 caffeabbracci.com                                      |     1
 zaza.co.uk                                             |     4
 parkrowlondon.co.uk                                    |     1
 thepensionerpublichouse.london                         |     1
 restaurantsuhring.com                                  |     1
 cafewolseley.com                                       |     1
 linastores.co.uk                                       |     3
 isolabellarestaurant.co.uk                             |     1
 saltydogbistro.com                                     |     1
 thehopefitzrovia.co.uk                                 |     1
 osteriacasaciaccia.it                                  |     1
 coastersofsouthwold.co.uk                              |     1
 clissoldparktavern.com                                 |     1
 limetreewhetstone.co.uk                                |     1
 banchan.co.za                                          |     1
 goldenskewerbargrill.co.uk                             |     1
 thethatchcroyde.co.uk                                  |     1
 dogandduck-e17.co.uk                                   |     1
 acquolinaristorante.it                                 |     1
 oakstansteadabbotts.co.uk                              |     1
 fiftysecondsexperience.com                             |     1
 renegadelondonwine.com                                 |     1
 beercafe.co.uk                                         |     1
 southpointcasino.com                                   |     1
 eastheadcafe.co.za                                     |     1
 hogfishbar.com                                         |     1
 theexmouth.co.uk                                       |     1
 dobsonandparnell.co.uk                                 |     1
 hotelvnesplein.nl                                      |     1
 malvarosa.co.uk                                        |     1
 strawberry-fields.co                                   |     1
 birchcommunity.com                                     |     1
 thewaterfrontbrewery.com                               |     1
 mamo-michelangelo.com                                  |     1
 thedevonshire.info                                     |     1
 themuddlersclubbelfast.com                             |     1
 thelighthousecafe.net                                  |     1
 theoldbarge.com                                        |     1
 hamptonsdubai.com                                      |     1
 deathandcompany.com                                    |     1
 elvetsteakhouse.co.uk                                  |     1
 merivale.com.au                                        |     1
 cafetrio.co.uk                                         |     1
 losmarinospaco.es                                      |     1
 lighthouse-london.com                                  |     1
 coppaboston.com                                        |     1
 viasete.com.br                                         |     1
 casazul.co.uk                                          |     1
 alexandrapalace.com                                    |     1
 bistrolelystad.nl                                      |     1
 trishnalondon.com                                      |     1
 mango-t.co.uk                                          |     1
 kricket.co.uk                                          |     3
 melroseandmorgan.com                                   |     1
 cullinsyard.co.uk                                      |     1
 thelebanesebakery.com                                  |     1
 marcforgione.com                                       |     1
 thechillipickle.com                                    |     1
 restaurantmine.co.uk                                   |     1
 hotelsanders.com                                       |     1
 theivyatverity.ca                                      |     1
 bratrestaurant.com                                     |     2
 tribalbarandgrill.co.uk                                |     1
 amelias1931.com                                        |     1
 soutine.co.uk                                          |     1
 l-as-du-fallafel.zenchef.com                           |     1
 yosushi.me                                             |     2
 holidaycocktaillounge.nyc                              |     1
 parsonslondon.co.uk                                    |     1
 frendzresorthostels.com                                |     1
 pamukkale-restaurant.co.uk                             |     1
 wapentakeleeds.co.uk                                   |     1
 brighton-smokehouse.business.site                      |     1
 putneypies.co.uk                                       |     2
 almaidah.co.uk                                         |     1
 imgworlds.com                                          |     1
 originalsin.bar                                        |     1
 nhrm.co.uk                                             |     1
 maitrechoux.com                                        |     1
 pamsongrill.co.uk                                      |     1
 exploretock.com                                        |     1
 asia-asia.com                                          |     1
 foresttavern.com                                       |     1
 citysociallondon.com                                   |     1
 eatintime.dk                                           |     1
 ynyshir.co.uk                                          |     1
 thecanalhouse.uk.com                                   |     1
 anchorstonecafe.co.uk                                  |     1
 mogno.pt                                               |     1
 shinnihonkl.com                                        |     1
 justinwine.com                                         |     1
 picaderos.ie                                           |     1
 viumanent.cl                                           |     1
 domingosanto.com                                       |     1
 gallodorohadleigh.co.uk                                |     1
 rootbristol.co.uk                                      |     1
 ocean-beach.co.uk                                      |     1
 1251.co.uk                                             |     1
 blackswanoldstead.co.uk                                |     1
 ooweevegan.com                                         |     2
 slimchickens.co.uk                                     |     2
 doolally.ie                                            |     1
 thepotluckclub.co.za                                   |     1
 benaresmadrid.com                                      |     1
 kolrestaurant.com                                      |     2
 papajifoodtruck.com                                    |     1
 thesugarhut.co.uk                                      |     1
 kagges.com                                             |     1
 chefalejandrocuellar.com                               |     1
 thebolingbroke.com                                     |     1
 dintaifung-uk.com                                      |     1
 backroomnyc.com                                        |     1
 englishriviera.co.uk                                   |     1
 limetreehotel.co.uk                                    |     1
 lockeliving.com                                        |     1
 jamesrestaurantny.com                                  |     1
 platformtavern.com                                     |     1
 localkitchen.pt                                        |     1
 angelina.london                                        |     1
 carouselrestaurant.com                                 |     1
 napoliontheroad.co.uk                                  |     1
 pepes.co.uk                                            |     1
 restaurantgorilla.dk                                   |     1
 iguanas.co.uk                                          |     5
 tapperietbrus.dk                                       |     1
 thebroadchare.co.uk                                    |     1
 grovebalham.com                                        |     1
 sheffieldtap.com                                       |     1
 mannalifefood.com                                      |     1
 princeshead.co.uk                                      |     1
 daalderamsterdam.nl                                    |     1
 thebeggingbowl.co.uk                                   |     1
 chinchinicecream.com                                   |     1
 angieslittlefoodshop.com                               |     1
 skvp.co.uk                                             |     1
 cottons-restaurant.co.uk                               |     1
 nautilusrestaurant.co.ke                               |     1
 aicorestaurants.com                                    |     1
 stellablu-nh.com                                       |     1
 tzatzikiuk.co.uk                                       |     1
 okura.nl                                               |     1
 tropicalsmoothiecafe.com                               |     1
 ritasdining.com                                        |     1
 kinikini.dk                                            |     1
 searcysatthegherkin.co.uk                              |     1
 abeno.co.uk                                            |     1
 rehabhackney.com                                       |     1
 no31.co.uk                                             |     1
 hotelparadisepark.com                                  |     1
 jbsdiner.co.uk                                         |     1
 saddlers-bakery-bistro.business.site                   |     1
 beatone.co.uk                                          |     2
 restaurantebuscandoelnorte.com                         |     1
 thecraftyegg.co.uk                                     |     1
 holycow.no                                             |     1
 dontxoko.com                                           |     1
 hoddesdontownfc.co.uk                                  |     1
 landmarklondon.co.uk                                   |     1
 orderamorino.com                                       |     1
 santambroeus.com                                       |     1
 magayaparos.com                                        |     1
 27devon.co.uk                                          |     1
 chefgorji.com                                          |     1
 honsrestaurant.co.uk                                   |     1
 lubar.it                                               |     1
 springcafeaspen.com                                    |     1
 refineryfaversham.co.uk                                |     1
 thefishhousefistral.com                                |     1
 themacfactory.co.uk                                    |     2
 restaurantindoncaster.com                              |     1
 pressuredropbrewing.co.uk                              |     1
 yumyumcha.in                                           |     1
 chickenandgrillpubs.co.uk                              |     2
 lespresdeugenie.com                                    |     1
 thebunchofgrapes.com                                   |     1
 aquihapeixe.pt                                         |     1
 orchardinn.co.uk                                       |     1
 thecopperclam.com                                      |     1
 motherkellys.co.uk                                     |     3
 lostboyspizza.com                                      |     1
 settelondon.co.uk                                      |     1
 elstinars.com                                          |     1
 cafegitanenyc.com                                      |     1
 boxcar.co.uk                                           |     2
 porthouse.ie                                           |     1
 earlofessex.net                                        |     1
 littlefrench.co.uk                                     |     1
 bartopolski.co.uk                                      |     1
 laresidencia.net                                       |     1
 thebrowncowpub.co.uk                                   |     1
 topgolf.com                                            |     2
 acorngodalming.com                                     |     1
 fortepizzeria.com                                      |     1
 eatinghousemiami.com                                   |     1
 mayas-stbarth.com                                      |     1
 luca.restaurant                                        |     1
 deliveroo.co.uk                                        |     2
 applaud-coffee.co.uk                                   |     1
 laboccalooe.co.uk                                      |     1
 jacktheclipper.co.uk                                   |     1
 lote23.com                                             |     1
 blabar.london                                          |     1
 orwellsrestaurant.com                                  |     1
 homst.com.my                                           |     1
 nahnahbah.com                                          |     1
 reffen.dk                                              |     1
 amalialiverpool.co.uk                                  |     1
 sonofabun.ie                                           |     1
 laesquina.dk                                           |     1
 bokachicago.com                                        |     1
 fonteluz.com                                           |     1
 hubbox.co.uk                                           |     3
 localhouse.com                                         |     1
 therivingtongrill.co.uk                                |     1
 amarehotels.com                                        |     1
 eastzeast.com                                          |     1
 buglebrading.co.uk                                     |     1
 theoldcustomshouse.com                                 |     1
 fireaway.co.uk                                         |     1
 larryspeckham.co.uk                                    |     1
 blackrobincoffee.co.uk                                 |     1
 restaurantsnapshot.com                                 |     1
 vegabond.nl                                            |     1
 martinezbarcelona.com                                  |     1
 neat-burger.com                                        |     1
 theeelpie.co.uk                                        |     1
 pinocchiospizza.net                                    |     1
 houseofhammerton.co.uk                                 |     1
 theboathousesb.com.au                                  |     1
 zebranobars.com                                        |     1
 foodforfriends.com                                     |     1
 andrescarnederes.com                                   |     1
 dumdums.co.uk                                          |     1
 fivebellswickham.co.uk                                 |     1
 ridinghousecafe.co.uk                                  |     1
 heavenlydesserts.co.uk                                 |     3
 cafebibrambla.com                                      |     1
 theathenian.co.uk                                      |     3
 mezzahouse.co.uk                                       |     1
 georgehotelofstamford.com                              |     1
 scaturchio.it                                          |     1
 thewetfishcafe.co.uk                                   |     1
 pieburycorner.com                                      |     1
 stroubes.com                                           |     1
 theivycafemarylebone.com                               |     1
 fishwingsandtings.com                                  |     1
 lepontdelatour.co.uk                                   |     1
 sushinoen.com                                          |     1
 thevaults.london                                       |     1
 laxeiro.co.uk                                          |     1
 pilotprojectbrewing.com                                |     1
 midoripenhalonga.com                                   |     1
 acehotel.com                                           |     2
 moncksbrasserie.com                                    |     1
 amanhavis.com                                          |     1
 whitehart-sevenoaks.co.uk                              |     1
 raoshollywood.com                                      |     1
 bristolsqueezed.co.uk                                  |     1
 nordicbar.com                                          |     1
 dulwichgolf.co.uk                                      |     1
 jumeirah.com                                           |    17
 cpressjuice.com                                        |     1
 catandmutton.com                                       |     1
 maison-puget.com                                       |     1
 oohmexicano.cz                                         |     1
 bar.cdhvar.com                                         |     1
 pakorabar.co.uk                                        |     1
 slowlyshirley.com                                      |     1
 theboxsoho.com                                         |     1
 princeofpeckham.co.uk                                  |     1
 cocodimama.co.uk                                       |     1
 mycocotte.uk                                           |     1
 theponychewvalley.co.uk                                |     1
 chaophraya.co.uk                                       |     7
 10greekstreet.com                                      |     1
 sculthorpemill.uk                                      |     1
 nossala.com                                            |     1
 baribericotapas.com                                    |     1
 jimbosmokehouse.com                                    |     1
 lebeaujolais.london                                    |     1
 founderbkt.com.sg                                      |     1
 obica.com                                              |     1
 goodneighbour.uk.com                                   |     1
 currybox.in                                            |     1
 thepottedpig.com                                       |     1
 red-hand.co.uk                                         |     1
 allardslounge.co.uk                                    |     1
 sofra.co.uk                                            |     1
 uk.westfield.com                                       |     2
 sabadublin.com                                         |     1
 cakethaikitchen.com                                    |     1
 jacquesrestaurant.co.uk                                |     1
 italianmarket.ca                                       |     1
 hotelartsbarcelona.com                                 |     1
 bafaratcafe.com                                        |     1
 thegaterestaurants.com                                 |     4
 mughalempire.co.uk                                     |     1
 battersea.pi-pizza.co.uk                               |     1
 thedodomicropub.com                                    |     1
 barespanya.es                                          |     1
 thegreen-cafe.de                                       |     1
 jasonsdeli.com                                         |     1
 themarlboroughrichmond.co.uk                           |     1
 loeildubassin.com                                      |     1
 thelookoutcafe.com                                     |     1
 basementsate.com                                       |     1
 durrantshotel.co.uk                                    |     1
 activesushi.com                                        |     1
 Caistor Lakes Leisure Park and Restaurant              |     1
 greedycow.com                                          |     1
 perakitchen.com                                        |     1
 cavelafelicite.com                                     |     1
 cicciabella.com.au                                     |     1
 theorchardcafe.uk                                      |     1
 bollywoodkitchen.co.uk                                 |     1
 azzurro-restaurant.co.uk                               |     1
 damario.co.uk                                          |     1
 crescent-hotel.com                                     |     1
 restaurant-amador.com                                  |     1
 francoslondon.com                                      |     1
 thetreasurybar.co.uk                                   |     1
 saltcove.co.uk                                         |     1
 botin.es                                               |     1
 zialucia.com                                           |     1
 cheekymonkeys.com.au                                   |     1
 handandspear.co.uk                                     |     1
 tower-restaurant.com                                   |     1
 punjab.co.uk                                           |     1
 yamamomo.co.uk                                         |     1
 maeandharvey.com                                       |     1
 barmargaux.co.uk                                       |     1
 zoi.hr                                                 |     1
 fudoatl.com                                            |     1
 thesmithsbakery.com                                    |     1
 digbethdiningclub.co.uk                                |     1
 behindrestaurant.co.uk                                 |     1
 jupiteralbufeirahotel.com                              |     1
 thesaltcellargoldhill.co.uk                            |     1
 hastingshotels.com                                     |     1
 thebirminghamwhiskyclub.co.uk                          |     1
 somtamhouse.co.uk                                      |     1
 lumberinndelafield.com                                 |     1
 la-banca.co.uk                                         |     1
 hattusa.co.uk                                          |     1
 gazagrill.dk                                           |     1
 damario.com.tr                                         |     1
 amoryamargony.com                                      |     1
 themeatco.com                                          |     1
 centralrestaurante.com.pe                              |     1
 quintadelarosa.com                                     |     1
 wangdaebakbbq.sg                                       |     1
 magro.com.tr                                           |     1
 leedsbeckett.ac.uk                                     |     1
 20stories.co.uk                                        |     1
 kroppkarrspizzeria.se                                  |     1
 itremercanti.it                                        |     1
 theriverterrace.co.uk                                  |     1
 salted.no                                              |     1
 nosebagoxford.co.uk                                    |     1
 frenchsole.com                                         |     1
 shawarmabar.co.uk                                      |     1
 oceanarestaurant.com                                   |     1
 fitologykitchen.com                                    |     1
 purplepatchdc.com                                      |     1
 fasano.com.br                                          |     1
 villa216.com                                           |     1
 thetilbury.co.uk                                       |     1
 elementarystore.co.uk                                  |     1
 casacubarestaurant.com                                 |     1
 palaciodecibeles.com                                   |     1
 goodlifeeatery.com                                     |     1
 ampersandhotel.com                                     |     2
 burgersartisanbakery.com                               |     1
 bluecavecroatia.hr                                     |     1
 cafemarseille.co.uk                                    |     1
 ionabrooklyn.com                                       |     1
 tierraandmar.co.uk                                     |     1
 thegreenclerkenwell.com                                |     1
 180thestrand.com                                       |     1
 miyarestaurant.co.uk                                   |     1
 janislisboa.com                                        |     1
 chacharoll.com                                         |     1
 harbourclub.nl                                         |     1
 bestcitypubs.co.uk                                     |     6
 sevenstarsstroud.co.uk                                 |     1
 es-es.facebook.com                                     |     2
 restaurant-roys.ch                                     |     1
 rollernation.com                                       |     1
 redtorchginger.ie                                      |     1
 rossopomodoro.it                                       |     1
 angelshotel.co.uk                                      |     1
 burgersnbrew.com                                       |     2
 fivefieldsrestaurant.com                               |     2
 greeneking-pubs.co.uk                                  |    20
 llamber.com                                            |     1
 2forestreet.co.uk                                      |     1
 joykinglau.com                                         |     1
 wnk.com.sg                                             |     1
 thestaffordlondon.com                                  |     2
 hovarda.london                                         |     1
 linnaean.co.uk                                         |     1
 bellmontrestaurant.com                                 |     1
 reads.com                                              |     1
 osteriapulcinella.co.uk                                |     1
 thebootleggerpub.co.uk                                 |     1
 parsonagegrill.co.uk                                   |     1
 180.bar                                                |     1
 noorderlichtcafe.nl                                    |     1
 shepherdneame.co.uk                                    |     2
 discovermleiha.ae                                      |     1
 bohemiastneots.com                                     |     1
 peninsula.com                                          |     1
 exclusive.co.uk                                        |     5
 farzilondon.com                                        |     1
 tamerofirenze.com                                      |     1
 thepeninsulahouse.com                                  |     1
 tequilamock.com                                        |     1
 oldsiamhertford.com                                    |     1
 mcmullens.co.uk                                        |     3
 slbenfica.pt                                           |     1
 pietrodagostino.it                                     |     1
 joltcoffee.co.uk                                       |     1
 thaidiner.com                                          |     1
 ichimiramenbar.com                                     |     1
 whatthepitta.com                                       |     1
 rules.co.uk                                            |     1
 burgerbeastuk.com                                      |     1
 pastaio.co.uk                                          |     2
 bythewine.pt                                           |     1
 dennysseafoodrestaurant.co.uk                          |     1
 losibericos.pt                                         |     1
 elcarmencaladhort.com                                  |     1
 tenzchineserestaurant.co.uk                            |     1
 royalchinagroup.co.uk                                  |     1
 cac.es                                                 |     1
 4leoni.com                                             |     1
 sheprethwildlifepark.co.uk                             |     1
 risingsunpotton.co.uk                                  |     1
 beker6.com                                             |     1
 balthazarbakery.com                                    |     1
 noma.dk                                                |     1
 subway.lu                                              |     1
 crabcellar.com                                         |     1
 theethiopiancoffeecompany.co.uk                        |     1
 erewhonmarket.com                                      |     1
 riva.pizza                                             |     1
 mahalle.dk                                             |     1
 thewayfarerstone.co.uk                                 |     1
 laraza.co.uk                                           |     1
 cakerybay.co.uk                                        |     1
 smithsbarandgrill.co.uk                                |     1
 east-miami.com                                         |     1
 creme.london                                           |     1
 theavocadoshow.com                                     |     1
 ippudo.fr                                              |     1
 theboxinghare.co.uk                                    |     1
 goodandpropertea.com                                   |     1
 byblos.com                                             |     1
 galleriacambridge.co.uk                                |     1
 fistralbeachbar.co.uk                                  |     1
 ayresbakery.com                                        |     1
 piccolowanstead.com                                    |     1
 fokp.org.uk                                            |     1
 kohinoorofkerala.co.uk                                 |     1
 6degreescoffeehouse.org.uk                             |     1
 royal35steakhouse.com                                  |     1
 dailybreadmarketplace.com                              |     1
 cartems.com                                            |     2
 luciawinebar.co.uk                                     |     1
 posto9campomarino.com                                  |     1
 thehunter-s.co.uk                                      |     1
 grandcholan.com                                        |     1
 cecconisamsterdam.com                                  |     1
 aldeewanbakery.ca                                      |     1
 tsiakkos.co.uk                                         |     1
 fint-leeds.com                                         |     1
 dueamici.co.uk                                         |     1
 applebuttercafe.com                                    |     1
 hampsteadbutcher.com                                   |     2
 losmeraldocapri.com                                    |     1
 lynnfield.co.uk                                        |     1
 medlarrestaurant.co.uk                                 |     1
 motherandwild.com                                      |     1
 ristorantebiancofiore.it                               |     1
 damons.co.uk                                           |     1
 thefisheryinnhemelhempstead.co.uk                      |     1
